AP018499.1_LLCC_1613	AL645882.2_SCO2043	39.4
AP018499.1_LLCC_1613	AL645882.2_SCO3214	38.5
AP018499.1_LLCC_1613	AL645882.2_SCO1547	30.9
AP018499.1_LLCC_2377	AL645882.2_SCO1578	40.0
AP018499.1_LLCC_0413	AL645882.2_SCO5501	42.1
AP018499.1_LLCC_1363	AL645882.2_SCO3890	26.2
AP018499.1_LLCC_2298	AL645882.2_SCO1780	28.3
AP018499.1_LLCC_0196	AL645882.2_SCO5560	37.0
AP018499.1_LLCC_0961	AL645882.2_SCO3136	32.3
AP018499.1_LLCC_2303	AL645882.2_SCO2145	40.4
AP018499.1_LLCC_2303	AL645882.2_SCO6466	40.6
AP018499.1_LLCC_0377	AL645882.2_SCO5893	32.8
AP018499.1_LLCC_0395	AL645882.2_SCO5645	34.3
AP018499.1_LLCC_2485	AL645882.2_SCO2360	45.5
AP018499.1_LLCC_0865	AL645882.2_SCO0199	28.5
AP018499.1_LLCC_0865	AL645882.2_SCO0419	26.0
AP018499.1_LLCC_1430	AL645882.2_SCO5839	42.6
AP018499.1_LLCC_1430	AL645882.2_SCO6773	44.4
AP018499.1_LLCC_1430	AL645882.2_SCO4108	45.5
AP018499.1_LLCC_0574	AL645882.2_SCO5188	28.1
AP018499.1_LLCC_0574	AL645882.2_SCO5184	25.6
AP018499.1_LLCC_1811	AL645882.2_SCO3416	45.7
AP018499.1_LLCC_0487	AL645882.2_SCO2552	30.5
AP018499.1_LLCC_0663	AL645882.2_SCO2241	44.7
AP018499.1_LLCC_0663	AL645882.2_SCO2198	39.6
AP018499.1_LLCC_0663	AL645882.2_SCO1613	31.1
AP018499.1_LLCC_0663	AL645882.2_SCO6962	30.1
AP018499.1_LLCC_2291	AL645882.2_SCO2087	31.8
AP018499.1_LLCC_2291	AL645882.2_SCO5365	29.7
AP018499.1_LLCC_1053	AL645882.2_SCO1473	33.4
AP018499.1_LLCC_1464	AL645882.2_SCO5744	35.0
AP018499.1_LLCC_1464	AL645882.2_SCO1912	34.6
AP018499.1_LLCC_1464	AL645882.2_SCO1895	23.8
AP018499.1_LLCC_0818	AL645882.2_SCO4722	37.9
AP018499.1_LLCC_1623	AL645882.2_SCO2036	30.9
AP018499.1_LLCC_1897	AL645882.2_SCO5529	28.3
AP018499.1_LLCC_0378	AL645882.2_SCO0749	44.1
AP018499.1_LLCC_1817	AL645882.2_SCO1977	42.5
AP018499.1_LLCC_1817	AL645882.2_SCO2025	43.3
AP018499.1_LLCC_0496	AL645882.2_SCO3887	37.4
AP018499.1_LLCC_0002	AL645882.2_SCO2468	31.0
AP018499.1_LLCC_1483	AL645882.2_SCO1484	40.8
AP018499.1_LLCC_1483	AL645882.2_SCO3213	27.9
AP018499.1_LLCC_0414	AL645882.2_SCO5499	47.0
AP018499.1_LLCC_0414	AL645882.2_SCO2825	29.8
AP018499.1_LLCC_0414	AL645882.2_SCO7601	25.6
AP018499.1_LLCC_0274	AL645882.2_SCO7268	31.5
AP018499.1_LLCC_0911	AL645882.2_SCO5626	57.8
AP018499.1_LLCC_0138	AL645882.2_SCO4296	60.8
AP018499.1_LLCC_0138	AL645882.2_SCO4762	60.7
AP018499.1_LLCC_1289	AL645882.2_SCO4334	33.5
AP018499.1_LLCC_1540	AL645882.2_SCO6706	30.3
AP018499.1_LLCC_1540	AL645882.2_SCO7362	30.1
AP018499.1_LLCC_1540	AL645882.2_SCO0387	20.8
AP018499.1_LLCC_0692	AL645882.2_SCO1326	27.2
AP018499.1_LLCC_0692	AL645882.2_SCO7047	31.5
AP018499.1_LLCC_0182	AL645882.2_SCO5769	60.1
AP018499.1_LLCC_0451	AL645882.2_SCO7655	50.6
AP018499.1_LLCC_0451	AL645882.2_SCO4951	25.5
AP018499.1_LLCC_0451	AL645882.2_SCO0349	23.5
AP018499.1_LLCC_1444	AL645882.2_SCO5950	25.2
AP018499.1_LLCC_1766	AL645882.2_SCO5426	39.5
AP018499.1_LLCC_1766	AL645882.2_SCO2119	41.1
AP018499.1_LLCC_1766	AL645882.2_SCO1214	40.8
AP018499.1_LLCC_0341	AL645882.2_SCO1343	41.8
AP018499.1_LLCC_0341	AL645882.2_SCO1114	43.2
AP018499.1_LLCC_1593	AL645882.2_SCO1882	26.2
AP018499.1_LLCC_1646	AL645882.2_SCO4885	35.8
AP018499.1_LLCC_1646	AL645882.2_SCO4884	36.2
AP018499.1_LLCC_0364	AL645882.2_SCO6023	30.1
AP018499.1_LLCC_0364	AL645882.2_SCO2594	29.0
