AP018499.1_LLCC_1613	AE014073.1_S1531	32.6
AP018499.1_LLCC_1613	AE014073.1_S1353	38.2
AP018499.1_LLCC_2377	AE014073.1_S3710	34.2
AP018499.1_LLCC_2377	AE014073.1_S3026	25.7
AP018499.1_LLCC_1820	AE014073.1_S3695	30.4
AP018499.1_LLCC_1363	AE014073.1_S0530	23.7
AP018499.1_LLCC_0343	AE014073.1_S2161	94.5
AP018499.1_LLCC_2298	AE014073.1_S2853	32.3
AP018499.1_LLCC_0196	AE014073.1_S0254	37.0
AP018499.1_LLCC_0196	AE014073.1_S0091	35.2
AP018499.1_LLCC_0488	AE014073.1_S3514	31.7
AP018499.1_LLCC_0961	AE014073.1_S0555	37.0
AP018499.1_LLCC_2303	AE014073.1_S3376	52.0
AP018499.1_LLCC_0395	AE014073.1_S2735	35.6
AP018499.1_LLCC_2188	AE014073.1_S2520	23.1
AP018499.1_LLCC_1811	AE014073.1_S1867	49.0
AP018499.1_LLCC_1811	AE014073.1_S4173	49.0
AP018499.1_LLCC_1811	AE014073.1_S2648	46.7
AP018499.1_LLCC_0487	AE014073.1_S3141	29.6
AP018499.1_LLCC_0663	AE014073.1_S3806	40.5
AP018499.1_LLCC_0663	AE014073.1_S1384	28.8
AP018499.1_LLCC_2291	AE014073.1_S0086	34.9
AP018499.1_LLCC_0548	AE014073.1_S4134	37.2
AP018499.1_LLCC_1053	AE014073.1_S3544	39.0
AP018499.1_LLCC_1464	AE014073.1_S2671	39.7
AP018499.1_LLCC_0818	AE014073.1_S4430	39.0
AP018499.1_LLCC_1623	AE014073.1_S1349	31.4
AP018499.1_LLCC_1087	AE014073.1_S3545	29.4
AP018499.1_LLCC_1897	AE014073.1_S0071	42.2
AP018499.1_LLCC_0378	AE014073.1_S3898	45.5
AP018499.1_LLCC_0378	AE014073.1_S2227	43.8
AP018499.1_LLCC_1817	AE014073.1_S3471	32.6
AP018499.1_LLCC_0002	AE014073.1_S3312	35.1
AP018499.1_LLCC_2461	AE014073.1_S2568	33.0
AP018499.1_LLCC_1483	AE014073.1_S0031	43.5
AP018499.1_LLCC_1483	AE014073.1_S4384	25.2
AP018499.1_LLCC_1483	AE014073.1_S1352	28.0
AP018499.1_LLCC_1807	AE014073.1_S1868	57.7
AP018499.1_LLCC_1807	AE014073.1_S2649	30.4
AP018499.1_LLCC_0911	AE014073.1_S0164	47.4
AP018499.1_LLCC_0138	AE014073.1_S4564	59.4
AP018499.1_LLCC_1927	AE014073.1_S1205	43.8
AP018499.1_LLCC_1927	AE014073.1_S0850	31.5
AP018499.1_LLCC_1289	AE014073.1_S4026	35.1
AP018499.1_LLCC_1289	AE014073.1_S3971	35.1
AP018499.1_LLCC_1289	AE014073.1_S3591	30.6
AP018499.1_LLCC_0692	AE014073.1_S3303	36.4
AP018499.1_LLCC_0182	AE014073.1_S2913	59.4
AP018499.1_LLCC_1896	AE014073.1_S1139	29.8
AP018499.1_LLCC_0451	AE014073.1_S1806	31.7
AP018499.1_LLCC_0451	AE014073.1_S3042	24.3
AP018499.1_LLCC_1199	AE014073.1_S1843	24.0
AP018499.1_LLCC_0658	AE014073.1_S4593	41.1
