NZ_CP082327_1_K6983_RS13060	CP003278_1_STBHUCCB_18510	88.1
NZ_CP082327_1_K6983_RS04380	CP003278_1_STBHUCCB_30570	93.2
NZ_CP082327_1_K6983_RS07975	CP003278_1_STBHUCCB_8160	86.5
NZ_CP082327_1_K6983_RS12565	CP003278_1_STBHUCCB_11560	70.5
NZ_CP082327_1_K6983_RS21325	CP003278_1_STBHUCCB_36750	98.1
NZ_CP082327_1_K6983_RS22220	CP003278_1_STBHUCCB_35610	85.3
NZ_CP082327_1_K6983_RS20855	CP003278_1_STBHUCCB_43950	89.0
NZ_CP082327_1_K6983_RS00905	CP003278_1_STBHUCCB_41140	77.4
NZ_CP082327_1_K6983_RS07280	CP003278_1_STBHUCCB_39020	73.7
NZ_CP082327_1_K6983_RS07280	CP003278_1_STBHUCCB_6590	73.4
NZ_CP082327_1_K6983_RS21985	CP003278_1_STBHUCCB_35170	96.8
NZ_CP082327_1_K6983_RS21985	CP003278_1_STBHUCCB_35700	40.2
NZ_CP082327_1_K6983_RS05530	CP003278_1_STBHUCCB_3140	86.4
NZ_CP082327_1_K6983_RS17770	CP003278_1_STBHUCCB_26840	89.4
NZ_CP082327_1_K6983_RS13825	CP003278_1_STBHUCCB_20580	98.0
NZ_CP082327_1_K6983_RS21060	CP003278_1_STBHUCCB_43500	92.8
NZ_CP082327_1_K6983_RS07875	CP003278_1_STBHUCCB_7940	88.0
NZ_CP082327_1_K6983_RS15095	CP003278_1_STBHUCCB_22730	81.2
NZ_CP082327_1_K6983_RS22025	CP003278_1_STBHUCCB_35270	91.7
NZ_CP082327_1_K6983_RS02570	CP003278_1_STBHUCCB_34160	87.3
NZ_CP082327_1_K6983_RS03090	CP003278_1_STBHUCCB_32230	47.7
NZ_CP082327_1_K6983_RS06580	CP003278_1_STBHUCCB_5160	94.8
NZ_CP082327_1_K6983_RS06580	CP003278_1_STBHUCCB_11860	37.2
NZ_CP082327_1_K6983_RS21600	CP003278_1_STBHUCCB_37550	91.6
NZ_CP082327_1_K6983_RS02830	CP003278_1_STBHUCCB_300	28.7
NZ_CP082327_1_K6983_RS02830	CP003278_1_STBHUCCB_38540	25.3
NZ_CP082327_1_K6983_RS16355	CP003278_1_STBHUCCB_24820	77.7
NZ_CP082327_1_K6983_RS19545	CP003278_1_STBHUCCB_15540	27.5
NZ_CP082327_1_K6983_RS19545	CP003278_1_STBHUCCB_32230	28.0
NZ_CP082327_1_K6983_RS19545	CP003278_1_STBHUCCB_4950	24.4
